"Special Price:","Now only:"
"My Wishlist","Wishlist"
"My Wishlist (%d item)","Wishlist (%d)"
"My Wishlist (%d items)","Wishlist (%d)"
"Cart","Cart"
"View Cart","View Cart"
"View all items in your shopping cart","View all items in your shopping cart"
"View All","View All"
"Compare","Compare"
"Compare Products","Compare Products"
"Compare all selected items","Compare all selected items"
"Currency","Currency"
"Language","Language"
"Sign Up","Sign Up"
"Enter your e-mail","Enter your e-mail"
"Click to see more products from %s","Click to see more products from %s"
"Related Products","Related"
"Zoom","Zoom"
"image {current} of {total}","{current} / {total}"
"New","New"
"Sale","Sale"
"Categories","Categories"
"Menu","Menu"
"Product Description","Description"
"Additional Information","Additional Info"
"Product Tags","Tags"
"Email to a Friend","Email"
"Add to Wishlist","Add to My Quotes"
"Regular Price:","Price:"
"Special Price","Price:"
"Proceed to Checkout","Checkout Now"
"Mage_Sales::Items Ordered", "Invoice"
"Mage_Sales::Grand Total", "Estimated TOTAL"
"Mage_Sales::Shipping & Handling", "Estimated Shipping"
"Mage_Tax::Tax", "Estimated Tax"
"Your Checkout Progress","Checkout Progress"
"Mage_Wishlist::Share Wishlist", "Share your wishlist"
