SearchExpression,StartDate,EndDate,RedirectValue
/2natr,11/29/13,2/18/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77852&cid=4360&pid=natr
/2wks,11/18/13,12/13/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77638&cid=5630&pid=wks
/3ar,9/27/13,1/14/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78221&cid=6577&pid=ar
/3csm,12/4/13,12/31/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77802&cid=6220&pid=csm
/3lrb,10/31/13,1/14/14,http://www.greatcourses.co.uk/ttcx/lp_general.aspx?ai=78583&cid=1933&pid=lrb
/3ntn,11/16/13,12/20/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78195&cid=2830&pid=ntn
/3sa,10/8/13,12/21/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77479&cid=1272&pid=sa
/3sn,10/25/13,1/2/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77687&cid=643&pid=sn
/3som,10/6/13,12/20/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78563&cid=1642&pid=som
/3spnh,10/21/13,1/7/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78533&cid=1933&pid=spnh
/3wks,12/9/13,1/3/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77644&cid=1712&pid=wks
/3ws,12/2/13,12/16/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=76985&cid=7320&pid=ws
/3wt,12/2/13,12/27/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78119&cid=6220&pid=wt
/4bth,10/15/13,12/25/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78491&cid=8894&pid=bth
/4csm,12/11/13,1/7/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77804&cid=4360&pid=csm
/4hist,10/24/13,1/28/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78349&cid=8580&pid=hist
/4lrb,10/31/13,1/14/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78585&cid=1933&pid=lrb
/4mensa,10/18/13,1/1/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78365&cid=1580&pid=mensa
/4mj,10/12/13,1/21/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78383&cid=3092&pid=mj
/4ntn,11/23/13,12/27/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78197&cid=1406&pid=ntn
/4sky,10/22/13,1/5/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78002&cid=1231&pid=sky
/4sn,11/11/13,1/16/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77689&cid=1411&pid=sn
/4som,11/6/13,1/20/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78565&cid=1933&pid=som
/4wm,11/6/13,12/17/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77904&cid=8557&pid=wm
/4ws,12/9/13,12/23/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=76987&cid=687&pid=wsj
/5econ,12/1/13,12/24/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77179&cid=8220&pid=econ
/5natr,10/4/13,12/24/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77846&cid=1401&pid=natr
/5nt,12/2/13,12/16/13,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77413&cid=6457&pid=nt
/5ntn,11/30/13,1/3/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=78199&cid=1110&pid=ntn
/5nyrob,10/22/13,1/7/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77934&cid=7640&pid=nyrob
/5nyt,12/2/13,1/4/14,http://www.thegreatcourses.com/tgc/courses/course_specialoffer.aspx?ai=77083&cid=7261&pid=
