catalogcode,name,description,start_date,stop_date,apply_special_shipping,special_shipping_price,currency,allow_coupons
Expected Records,5103,,,,0,,,0
13384,Yahoo - Brand Teach12,Yahoo - Brand Teach12,12/23/2009,12/23/2059,0,0,AUD,1
13385,Yahoo - Brand TLC,Yahoo - Brand TLC,12/23/2009,12/23/2059,0,0,AUD,1
13386,Yahoo - Brand Teach12 Long Tail,Yahoo - Brand Teach12 Long Tail,12/23/2009,12/23/2059,0,0,AUD,1
14179,Replacements--AUS,Replacements--AUS,09/16/2010,01/01/2034,0,0,AUD,1
14602,Landed on Australia Home page,Landed on Australia Home page,10/29/2010,12/31/2099,0,0,AUD,1
16118,AU House Default Web www.thegreatcourses.com.au,AU House Default Web www.thegreatcourses.com.au,02/07/2011,12/31/2100,0,0,AUD,1
16318,AU House Website Default,AU House Website Default,03/11/2011,12/31/2021,0,0,AUD,1
21154,Google Brand AU - Great Courses,Google Brand AU - Great Courses,06/14/2011,06/14/2061,0,0,AUD,1
21181,FinDimID - AU Web-Only,FinDimID - AU Web-Only,03/16/2011,03/16/2020,0,0,AUD,1
21646,FinDimID - AU Revenue Generating Emails,FinDimID - AU Revenue Generating Emails,03/16/2011,03/16/2020,0,0,AUD,1
21647,FinDimID - AU NON Revenue Generating Emails,FinDimID - AU NON Revenue Generating Emails,03/16/2011,03/16/2020,0,0,AUD,1
27108,AU Dec Cat (Rot.CM),AU Dec Cat (Rot.CM),11/21/2013,12/27/2013,0,0,AUD,1
27109,AU New Year Catalog (Rot.BM),AU New Year Catalog (Rot.BM),12/20/2013,01/23/2014,0,0,AUD,1
27121,AU Dec Ship (Rot.CM) ST: 11/19/2013 ED: 12/17/2013,AU Dec Ship (Rot.CM) ST: 11/19/2013 ED: 12/17/2013,11/21/2013,12/27/2013,0,0,AUD,1
27122,AU New Year Ship (Rot.BM) ST: 12/18/2013 ED: 01/13,AU New Year Ship (Rot.BM) ST: 12/18/2013 ED: 01/13/2014,12/20/2013,01/24/2014,0,0,AUD,1
27627,2013 AU TPI DEC  Control,2013 AU TPI DEC  Control,11/08/2013,01/31/2014,0,0,AUD,1
