CouponID,CouponDescription,CouponFromDate,CouponToDate,CouponCode,CouponCurrency,ReqAmount,ReqQuantity,ReqCourseParts,ReqPriceGT,ReqCourseType,ReqSaleStatus,ReqCourseID,ReqFormat,ReqCategory,GetAmount,GetQuantity,GetCourseParts,GetPriceGT,GetCourseType,GetSaleStatus,GetCourseID,GetFormat,GetCategory,GetPercentOff,GetShippingAmount,GetSpecialShipping,GetShippingType
Expected Records,82,,,,,,,,,,,,,,,,,,,,,,,,,,
CP3114,Special Introductory Offer,1/1/10,12/31/99,SPNTFR,USD,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,
CP3775,$20 off Coupon on Any Order over $100 ACQP,1/1/11,11/19/11,ACQP,USD,99.5,0,0,0,0,0,,,,20,0,0,0,0,0,,,,0,0,0,
CPN-002001,$20 off $100,1/5/15,2/12/15,NQ53HX,USD,99,0,0,0,0,0,,,,20,0,0,0,0,0,,,,0,0,0,
CPN-001881,20% Off $100,1/5/15,2/12/15,WP53HX,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-001935,20% Off $100,1/6/14,8/18/14,A7MP,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-001936,20% Off $100,1/6/14,8/18/14,AA9P,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-001937,20% Off $100,1/6/14,8/18/14,ARX7,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-001938,$10 Off,1/6/14,12/31/20,SNT01,USD,10,0,0,0,0,0,,,,10,0,0,0,0,0,,,,0,0,0,
CPN-001939,$10 Off Building Great Sentences,1/6/14,12/31/20,SNT02,USD,10,1,0,0,0,0,2368,,,0,0,0,0,0,0,,,,0,0,0,
CPN-001940,20% Off Video Downloads,1/6/14,12/31/20,SNT03,USD,7,1,0,0,0,0,,DownloadV,,0,0,0,0,0,0,,DownloadV,,0,0,0,
CPN-001941,20% Off $100,1/6/14,12/31/20,SNT04,USD,99,0,0,0,0,0,,,,0,0,0,0,0,0,,,,20,0,0,
CPN-001942,10% Off Science,1/6/14,12/31/20,SNT05,USD,7,1,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,
CPN-001943,Spend $150 and Get $20 Off PLUS Free Shipping,1/6/14,12/31/20,SNT06,USD,149,0,0,0,0,0,,,,20,0,0,0,0,0,,,,0,0,1,
