email_landing_category,course_id,displayorder,markdown_flag,lander_msg,category_expires
Expected Records,33,,,,
AH65,363,0.777777778,TRUE,Only $19.95!,10/7/14
AH65,349,0.888888889,TRUE,Only $19.95!,10/7/14
AH65,7820,1,FALSE,,10/7/14
AH65,807,1.777777778,TRUE,Only $19.95!,10/7/14
AH65,390,2,FALSE,,10/7/14
AH65,301,2.777777778,TRUE,Only $19.95!,10/7/14
AH65,3460,3,FALSE,,10/7/14
AH65,7901,4,FALSE,,10/7/14
AH65,805,4.555555556,TRUE,Only $19.95!,10/7/14
AH65,3340,5,FALSE,,10/7/14
AH65,8561,5.777777778,TRUE,Only $19.95!,10/7/14
AH65,3970,6,FALSE,,10/7/14
AH65,5181,6,TRUE,Only $19.95!,10/7/14
AH65,657,6.111111111,TRUE,Only $19.95!,10/7/14
AH65,237,6.222222222,TRUE,Only $19.95!,10/7/14
AH65,615,6.333333333,TRUE,Only $19.95!,10/7/14
AH65,752,7.333333333,TRUE,Only $19.95!,10/7/14
AH65,1823,7.444444444,TRUE,Only $19.95!,10/7/14
AH65,4691,7.666666667,TRUE,Only $19.95!,10/7/14
AH65,273,7.777777778,TRUE,Only $19.95!,10/7/14
AH65,611,7.888888889,TRUE,Only $19.95!,10/7/14
AH65,1423,8.111111111,TRUE,Only $19.95!,10/7/14
AH65,168,8.333333333,TRUE,Only $19.95!,10/7/14
AH65,174,9,TRUE,Only $19.95!,10/7/14
AH65,8700,9,FALSE,,10/7/14
AH65,751,9.333333333,TRUE,Only $19.95!,10/7/14
AH65,753,9.555555556,TRUE,Only $19.95!,10/7/14
AH65,754,9.888888889,TRUE,Only $19.95!,10/7/14
AH65,1933,10,FALSE,,10/7/14
AH65,2711,11,FALSE,,10/7/14
AH65,5724,12,FALSE,,10/7/14
AH65,1153,13,FALSE,,10/7/14
AH65,1373,14,FALSE,,10/7/14
