accountnum,mergeto_account
Expected Records,65708
050316235,50316235
050316236,41494575
050316236,50316236
050316237,50316237
050316238,50316238
050316239,50316239
050316240,50316240
050316241,50316241
050316241,50225728
050316242,50316242
050316243,50316243
050316244,50316244
050316245,50316245
050316246,50316246
050316247,50316247
050316248,50316248
050316249,50316249
050316250,50316250
050316251,50316251
050316252,50316252
050316253,50316253
050316254,50316254
050316255,50316255
050316256,50316256
050316257,50316257
050316258,50316258
050316259,50316259
050316260,50316260
050316261,50316261
050316262,50316262
050316263,50184097
050316263,50316263
050316264,50316264
050316265,50316265
050316266,50316266
050316267,50316267
050316268,50316268
050316269,50316269
050316270,50316270
050316271,50316271
050316272,50316272
050316273,50316273
050316274,50316274
050316275,50316275
050316276,50316276
050316277,50316277
050316278,50316278
050316279,50316279
050316280,50316280
050316281,50316281
050316282,50316282
050316283,50316283
050316284,50316284
050316285,50316285
050316286,50316286
050316287,50316287
050316288,50316288
050316289,50316289
050316290,50316290
050316291,50316291
050316292,50316292
050316293,50316293
050316294,50316294
050316295,50057486
050316295,50316295
050316296,50316296
050316297,50316297
050316298,50316298
050316299,50316299
050316300,50316300
050316301,50316301
050316302,50316302
050316303,50316303
050316304,50316304
050316305,50316305
050316305,40093565
050316306,50316306
050316307,50316307
050316308,50316308
050316309,50316309
050316310,50316310
050316311,50316311
050316312,50316312
050316313,50316313
050316314,50316314
050316315,50316315
050316316,50316316
050316317,50316317
050316318,50316318
050316318,40137944
050316319,50316319
050316320,50316320
050316321,50316321
050316322,50316322
050316323,50316323
050316324,50316324
050316325,50316325
050316326,50316326
050316327,50316327
050316328,50316328
050316329,50316329
050316330,50316330
050316331,50316331
050316331,40914449
050316332,50316332
050316333,50316333
050316334,50316334
050316335,50316335
050316336,50316336
050316337,50316337
050316338,50316338
050316339,50316339
050316340,50316340
050316341,50316341
050316342,50316342
050316343,50316343
050316344,50316344
050316345,50316345
050316346,50316346
050316347,50316347
050316348,50316348
050316349,50316349
050316350,50316350
050316351,50316351
050316352,50316352
050316353,50316353
050316354,50316354
050316355,50316355
050316356,50316356
050316357,50316357
050316358,50316358
050316359,50316359
050316360,50316360
050316360,40492674
050316361,50316361
050316362,50316362
050316363,50316363
050316364,50316364
050316365,50316365
050316366,50316366
050316367,50316367
050316368,50316368
050316369,50316369
050316370,50316370
050316371,50316371
050316371,50316380
050316372,50316372
050316373,50316373
050316374,50316374
050316375,50316375
050316376,50316376
050316377,50316377
050316378,50316378
050316379,50316379
050316380,50316380
050316381,50316381
050316382,50316382
050316383,50316383
050316384,50316384
050316385,50316385
050316386,50316386
050316387,50316387
050316388,50316388
050316389,50316389
050316390,50316390
050316391,50316391
050316392,50316392
050316393,50316393
050316394,50316394
050316395,50316395
050316396,50316396
050316397,50316397
050316398,50316398
050316399,50316399
050316399,41768522
050316400,50316400
050316401,50316401
050316402,50316402
050316403,50316403
050316404,50316404
050316405,50316405
050316406,50316406
050316407,50316407
050316408,50316408
050316409,50316409
050316410,50316410
050316411,50316411
050316412,50316412
050316413,50316413
050316414,50316414
050316415,50316415
050316416,50316416
050316417,50316417
050316418,50316418
050316419,50316419
050316420,50316420
050316421,50316421
050316422,50316422
050316423,50316423
050316424,50316424
050316425,50316425
050316426,50316426
050316427,50316427
050316428,50316428
050316429,50316429
050316430,50316430
050316431,50316431
050316432,50316432
050316433,50316433
050316434,50316434
050316435,50316435
050316436,50316436
050316437,50316437
050316438,50316438
050316439,50316439
050316440,50316440
050316441,50316322
050316441,50316441
050316442,50316442
050316443,50316443
050316444,50316444
050316445,50316445
050316447,50316447
050316448,50316448
050316449,50316449
050316450,50316450
050316451,50316451
050316452,50316452
050316453,50316453
050316454,50316454
050316455,50316455
050316456,50316456
050316457,50316457
050316458,50316458
050316459,50316459
050316460,50316460
050316461,50316461
050316462,50316462
050316463,50316463
050316464,50316464
050316465,50316465
050316466,50316466
050316467,50316467
050316468,50316468
050316469,50316469
050316470,50316470
050316471,50316471
050316472,50316472
050316473,50316473
050316474,40916253
050316474,50316474
050316475,50316475
050316476,50316476
050316477,50316477
050316478,50316478
050316479,50316479
050316480,50316480
050316481,50316481
050316482,50316482
050316483,50316483
050316484,50316484
050316485,50316485
050316487,50316487
050316488,50316488
050316489,50316489
050316490,50316490
050316491,50316491
050316492,50316492
050316493,50316493
050316494,50316494
050316495,50316495
050316496,50316496
050316497,50316497
050316498,50316498
050316499,50316499
050316500,50316500
050316501,50316501
050316502,50316502
050316503,50316503
050316504,50316504
050316505,50316505
050316506,50316506
050316507,50316507
050316508,50316508
050316509,50316509
050316511,50316511
050316512,50316512
050316513,50316513
050316514,50316514
050316515,50316515
050316516,50316516
050316517,50316517
050316518,50316518
050316519,50316519
050316520,50316520
050316521,50316521
050316522,50316522
050316523,50316523
050316524,50316524
050316525,50316525
050316526,50316526
050316527,50316527
050316528,50316528
050316529,50316529
050316530,50316530
050316531,50316531
050316532,50316532
050316533,50316533
050316534,50316534
050316535,50316535
050316535,42201667
050316536,50316536
050316537,50316537
050316538,50316538
050316539,50316539
050316540,50316540
050316541,50316541
050316542,50316542
050316543,50316543
050316544,50316544
050316545,50316545
050316546,50316546
050316547,50316547
050316548,50316548
050316549,50316549
050316550,50316550
050316551,50316551
050316552,50316552
050316553,50316553
050316554,50316554
050316555,50316555
050316556,50316556
050316557,50316557
050316558,50316558
050316559,50316559
050316560,50316560
050316561,50316561
050316562,50316562
050316563,50316563
050316564,50316564
050316565,50316565
050316566,50316566
050316567,50316567
050316568,50316568
050316569,50316569
050316570,50316570
050316571,50316571
050316572,50316572
050316573,50316573
050316574,50316574
050316575,50316575
050316576,50316576
050316577,50316577
050316578,50316578
050316579,50316579
050316580,50316580
050316581,50316581
050316581,41207673
050316582,50316582
050316583,50316583
050316584,50316584
050316585,50316585
050316586,50316586
050316587,40404581
050316587,50316587
050316588,50316588
050316589,50316589
050316590,50316590
050316591,50316591
050316592,50316592
050316593,50316593
050316594,50316594
050316595,50316595
050316596,50316596
050316598,50316598
050316599,50316599
050316600,50316600
050316601,50316601
050316602,50316602
050316603,50316603
050316604,50316604
050316605,50316605
050316606,50316606
050316607,50316607
050316607,40210761
050316608,50316608
050316609,50316609
050316610,50316610
050316611,50316611
050316612,50316612
050316613,50316613
050316614,50316614
050316615,50316615
050316616,50316616
050316617,50316617
050316618,50316618
050316619,50316619
050316620,50316620
050316621,50316621
050316622,50316622
050316623,50316623
050316624,50316624
050316625,50316625
050316626,50316626
050316627,50316627
050316628,50316628
050316629,50316629
050316630,50316630
050316631,50316631
050316632,50316632
050316633,50316633
050316634,50316634
050316635,50316635
050316636,50316636
050316637,50316637
050316638,50316638
050316639,50316639
050316640,50316640
050316641,50316641
050316642,50316642
050316643,50316643
050316644,50316644
050316645,50316645
050316647,50316647
050316648,50316648
050316650,50316650
050316651,50316651
050316652,50316652
050316653,50316653
050316654,50316654
050316655,50316655
050316656,50316656
050316657,50316657
050316658,50316658
050316659,50316659
050316660,50316660
050316661,50316661
050316662,50316662
050316663,50316663
050316664,50316664
050316665,50316665
050316666,50316666
050316668,50316668
050316669,50316669
050316670,50316670
050316671,50316671
050316672,50316672
050316673,50316673
050316674,50316674
050316675,50316675
050316676,50316676
050316677,50316677
050316678,50316678
050316679,50316679
050316680,50316680
050316681,50316681
050316682,50316682
050316685,50316685
050316686,50316686
050316687,50316687
050316688,50316688
050316689,50316689
050316690,50316690
050316691,50316691
050316692,50316692
050316693,50316693
050316694,50316694
050316695,50316695
050316696,50316696
050316697,50316697
050316698,50316698
050316699,50316699
050316700,50316700
050316701,50316701
050316702,50316702
050316703,50316703
050316704,50316704
050316705,50316705
050316706,50316706
050316707,50316707
050316708,50316708
050316709,50316709
050316710,50316710
050316711,50316711
050316712,50316712
050316713,50316713
050316714,50316714
050316715,50316715
050316716,50316716
050316717,50316717
050316718,50316718
050316719,50316719
050316720,50309702
050316720,50316720
050316721,50316721
050316723,50316723
050316724,50316724
050316725,41841939
050316725,50316725
050316726,50316726
050316727,50316727
050316728,50316728
050316729,50316729
050316730,50316730
