Country,Region/State,City,Zip/Postal Code,Zip to,Weight from,Weight to,Price From,Price To,Item From,Item To,Shipping Price,Algorithm,Delivery Type,Sort Order
*,*,*,*,*,*,*,0,84.99,*,*,12,,Standard,
*,*,*,*,*,*,*,85,119.99,*,*,18,,Standard,
*,*,*,*,*,*,*,120,174.99,*,*,24,,Standard,
*,*,*,*,*,*,*,175,229.99,*,*,30,,Standard,
*,*,*,*,*,*,*,230,99999,*,*,35,,Standard,
*,*,*,*,*,*,*,0,84.99,*,*,17,,2nd Day,
*,*,*,*,*,*,*,85,119.99,*,*,23,,2nd Day,
*,*,*,*,*,*,*,120,174.99,*,*,29,,2nd Day,
*,*,*,*,*,*,*,175,229.99,*,*,35,,2nd Day,
*,*,*,*,*,*,*,230,99999,*,*,40,,2nd Day,
*,*,*,*,*,*,*,0,84.99,*,*,22,,Next Day,
*,*,*,*,*,*,*,85,119.99,*,*,28,,Next Day,
*,*,*,*,*,*,*,120,174.99,*,*,34,,Next Day,
*,*,*,*,*,*,*,175,229.99,*,*,40,,Next Day,
*,*,*,*,*,*,*,230,99999,*,*,45,,Next Day,
