category_id,sku,sku_type,associated,coursename,meta_title,meta_description,image,small_image,thumbnail,country_of_manufacture,course_id,copyright_year,content_length,course_parts,num_lecture,course_type_code,primary_subject,package_subject,professor_information,guidebook,url_key,price,special_price,status,clearance_flag,media_format,free_streaming,coursedescription,short_description,meta_keyword,product_name,media_gallery,categories,related,upsell,crosssell,digital_transcript_sku,digital_transcript_price,physical_transcript_sku,physical_transcript_price,transcript_price
Expected Records,190,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,0,,0,0
,DV1006,1,"DV1007,DV1483","Set: Understanding Calculus: Problems, Solutions, and Tips &","Set: Understanding Calculus: Problems, Solutions, and Tips &",,,,,United States,1006,0,0,5,0,0,0,0,,,,0,0,Enabled,No,Video Download,No,,,,"Set: Understanding Calculus: Problems, Solutions, and Tips &",,"Courses,Lectures",,,,,0,,0,0
,PD1006,1,"PD1007,PD1483","Set: Understanding Calculus: Problems, Solutions, and Tips &","Set: Understanding Calculus: Problems, Solutions, and Tips &",,,,,United States,1006,0,0,5,0,0,0,0,,,,0,0,Enabled,No,DVD,No,,,,"Set: Understanding Calculus: Problems, Solutions, and Tips &",,"Courses,Lectures",,,,,0,,0,0
,1006,1,"DV1006,PD1006","Set: Understanding Calculus: Problems, Solutions, and Tips &","Set: Understanding Calculus: Problems, Solutions, and Tips &",,,,,United States,1006,0,0,5,0,0,0,0,,,,0,0,Enabled,No,,No,,,,"Set: Understanding Calculus: Problems, Solutions, and Tips &",,"Courses,Lectures",,,,,0,,0,0
,DV1008,1,"DV1001,DV1007",High School Calculus & Algebra I,High School Calculus & Algebra I,,,,,United States,1008,0,0,6,0,0,0,902,,,,0,0,Enabled,No,Video Download,No,,,,High School Calculus & Algebra I,,"Courses,Lectures",,,,,0,,0,0
,PD1008,1,"PD1001,PD1007",High School Calculus & Algebra I,High School Calculus & Algebra I,,,,,United States,1008,0,0,6,0,0,0,902,,,,0,0,Enabled,No,DVD,No,,,,High School Calculus & Algebra I,,"Courses,Lectures",,,,,0,,0,0
,1008,1,"DV1008,PD1008",High School Calculus & Algebra I,High School Calculus & Algebra I,,,,,United States,1008,0,0,6,0,0,0,902,,,,0,0,Enabled,No,,No,,,,High School Calculus & Algebra I,,"Courses,Lectures",,,,,0,,0,0
,PD1009,1,"PD1007,PD177",High School Calculus & Change and Motion: Calculus Made Clea,High School Calculus & Change and Motion: Calculus Made Clea,,,,,United States,1009,0,0,5,0,0,0,902,,,,0,0,Enabled,No,DVD,No,,,,High School Calculus & Change and Motion: Calculus Made Clea,,"Courses,Lectures",,,,,0,,0,0
,DV1009,1,"DV1007,DV177",High School Calculus & Change and Motion: Calculus Made Clea,High School Calculus & Change and Motion: Calculus Made Clea,,,,,United States,1009,0,0,5,0,0,0,902,,,,0,0,Enabled,No,Video Download,No,,,,High School Calculus & Change and Motion: Calculus Made Clea,,"Courses,Lectures",,,,,0,,0,0
,1009,1,"DV1009,PD1009",High School Calculus & Change and Motion: Calculus Made Clea,High School Calculus & Change and Motion: Calculus Made Clea,,,,,United States,1009,0,0,5,0,0,0,902,,,,0,0,Enabled,No,,No,,,,High School Calculus & Change and Motion: Calculus Made Clea,,"Courses,Lectures",,,,,0,,0,0
,PD1010,1,"PD1007,PD1456",High School Calculus & Discrete Mathematics,High School Calculus & Discrete Mathematics,,,,,United States,1010,0,0,5,0,0,0,902,,,,0,0,Enabled,No,DVD,No,,,,High School Calculus & Discrete Mathematics,,"Courses,Lectures",,,,,0,,0,0
,1010,1,PD1010,High School Calculus & Discrete Mathematics,High School Calculus & Discrete Mathematics,,,,,United States,1010,0,0,5,0,0,0,902,,,,0,0,Enabled,No,,No,,,,High School Calculus & Discrete Mathematics,,"Courses,Lectures",,,,,0,,0,0
,PD1013,1,"PD1012,PD177","Chemistry, 2nd Edition & Chang","Chemistry, 2nd Edition & Chang","Chemistry, 2nd Edition & Change and Motion: Calculus Made Clear, 2nd Edition (Set)",,,,United States,1013,0,1800,5,60,0,910,910,,,,0,0,Enabled,No,DVD,No,"Chemistry, 2nd Edition & Change and Motion: Calculus Made Clear, 2nd Edition (Set)",,,"Chemistry, 2nd Edition & Chang",,"Courses,Lectures",,,,,0,,0,0
,1013,1,PD1013,"Chemistry, 2nd Edition & Chang","Chemistry, 2nd Edition & Chang","Chemistry, 2nd Edition & Change and Motion: Calculus Made Clear, 2nd Edition (Set)",,,,United States,1013,0,1800,5,60,0,910,910,,,,0,0,Enabled,No,,No,"Chemistry, 2nd Edition & Change and Motion: Calculus Made Clear, 2nd Edition (Set)",,,"Chemistry, 2nd Edition & Chang",,"Courses,Lectures",,,,,0,,0,0
